                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.84948,                 3.0771,                0.75484,                0.98868,                0.95012,                0.64926,                0.79938,                0.71549,                0.89406,                0.61065,                0.75785,                0.47915,                0.77006,                 2.8782,                0.58796,                0.93499,             9.4731e-05,             9.4731e-05,             9.4731e-05
                    105,                 0.8574,                 2.9881,                0.78037,                 1.0354,                0.96287,                0.65629,                0.81023,                0.72343,                0.90468,                0.61412,                0.76607,                0.47998,                0.77168,                  2.859,                0.58889,                0.93558,             9.4496e-05,             9.4496e-05,             9.4496e-05
                    106,                0.84877,                 2.9573,                0.76425,                 1.0196,                0.96321,                0.65531,                0.80985,                0.72414,                0.90546,                0.61854,                0.76674,                0.48396,                0.76821,                 2.8385,                0.57963,                0.93456,              9.426e-05,              9.426e-05,              9.426e-05
                    107,                0.84568,                 3.0707,                0.75511,                  1.007,                0.96368,                0.64884,                0.80743,                0.72438,                0.89676,                0.60408,                0.75825,                0.48382,                0.76572,                 2.8365,                0.57159,                 0.9339,             9.4024e-05,             9.4024e-05,             9.4024e-05
                    108,                0.83568,                 3.0033,                0.76131,                 1.0136,                0.96374,                0.63784,                0.80214,                 0.7206,                0.89884,                0.59515,                0.75467,                0.47763,                0.76305,                 2.8449,                0.56928,                0.93087,             9.3789e-05,             9.3789e-05,             9.3789e-05
                    109,                0.78593,                 2.8607,                0.72727,                  1.005,                0.96961,                0.64195,                0.80497,                0.72211,                0.90626,                0.59888,                0.76146,                0.48743,                0.75615,                 2.8482,                0.56543,                0.92636,             9.3553e-05,             9.3553e-05,             9.3553e-05
                    110,                0.82683,                 2.9739,                0.74439,                 1.0119,                0.95423,                0.62359,                0.78856,                0.70841,                0.90448,                 0.5936,                 0.7537,                0.48267,                0.75307,                 2.8346,                0.56597,                0.92392,             9.3317e-05,             9.3317e-05,             9.3317e-05
                    111,                0.84609,                 2.9831,                0.74515,                 1.0056,                0.96948,                0.65085,                 0.8091,                0.72236,                0.92245,                0.62205,                0.77576,                0.49366,                0.74937,                 2.8225,                0.56704,                0.92278,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    112,                0.81216,                 3.0231,                0.73651,                 1.0259,                0.96497,                0.66705,                0.81542,                0.72286,                0.91734,                0.63669,                0.78161,                0.50021,                0.74396,                  2.817,                0.57038,                0.92123,             9.2846e-05,             9.2846e-05,             9.2846e-05
                    113,                0.83223,                 2.9497,                0.77707,                 1.0105,                0.96424,                0.67894,                0.82049,                0.72516,                 0.9154,                0.64554,                0.78494,                0.49663,                0.74406,                 2.8117,                0.57228,                  0.921,             9.2611e-05,             9.2611e-05,             9.2611e-05
                    114,                0.85512,                 2.9916,                0.77401,                  1.017,                0.96542,                 0.6874,                0.82508,                0.72784,                0.91266,                0.65145,                0.78417,                0.49229,                0.74305,                 2.8125,                0.57281,                0.92074,             9.2375e-05,             9.2375e-05,             9.2375e-05
                    115,                0.81742,                 2.9214,                0.74584,                 1.0241,                0.95925,                 0.6944,                0.82867,                0.73199,                0.91047,                0.65779,                0.78674,                0.48913,                0.73937,                 2.8058,                0.56817,                0.92118,             9.2139e-05,             9.2139e-05,             9.2139e-05
                    116,                0.82167,                 2.9248,                0.71562,                0.99654,                0.98011,                0.70191,                0.84031,                0.74432,                0.92515,                 0.6605,                 0.7907,                0.48992,                 0.7431,                 2.8023,                0.56192,                0.92379,             9.1904e-05,             9.1904e-05,             9.1904e-05
                    117,                  0.887,                 3.1012,                0.78715,                 1.0127,                0.96573,                0.67286,                0.81828,                0.72793,                0.91028,                0.62964,                0.76726,                0.48928,                0.74271,                 2.7863,                0.55706,                0.92484,             9.1668e-05,             9.1668e-05,             9.1668e-05
                    118,                0.83735,                  3.013,                0.73796,                 1.0118,                0.96835,                 0.6498,                0.80906,                0.71763,                0.91466,                0.60903,                0.75888,                0.48475,                0.73909,                 2.7748,                0.55226,                0.92341,             9.1432e-05,             9.1432e-05,             9.1432e-05
                    119,                 0.8832,                 2.9616,                0.75406,                 1.0202,                 0.9684,                0.64299,                0.80557,                 0.7176,                0.92223,                0.61014,                0.76403,                0.48397,                0.73948,                 2.7637,                  0.554,                0.92337,             9.1197e-05,             9.1197e-05,             9.1197e-05
                    120,                0.82469,                 2.9285,                0.74823,                 0.9951,                 0.9679,                  0.645,                 0.8062,                0.72176,                0.92147,                0.61147,                0.76514,                0.48846,                0.73929,                 2.7534,                0.56285,                0.92309,             9.0961e-05,             9.0961e-05,             9.0961e-05
                    121,                0.86508,                 2.9285,                0.75679,                 1.0101,                0.95382,                0.65132,                0.80235,                0.72623,                 0.9109,                0.61941,                0.76373,                0.49159,                 0.7367,                 2.7454,                 0.5568,                0.92177,             9.0726e-05,             9.0726e-05,             9.0726e-05
                    122,                0.82988,                 2.8607,                0.73436,                0.99453,                0.95358,                 0.6533,                0.80355,                 0.7287,                0.90936,                0.61937,                0.76398,                0.49891,                0.73432,                 2.7342,                0.55108,                0.91931,              9.049e-05,              9.049e-05,              9.049e-05
                    123,                0.81938,                  2.906,                0.73131,                 1.0197,                0.95687,                0.65279,                0.80357,                0.72751,                0.90938,                0.61815,                0.76199,                0.50151,                0.73267,                 2.7308,                0.54952,                0.91788,             9.0254e-05,             9.0254e-05,             9.0254e-05
                    124,                0.85089,                 2.8696,                 0.7621,                 1.0147,                0.95013,                0.64746,                0.79978,                0.72279,                0.90737,                0.61558,                 0.7592,                0.50035,                0.73369,                 2.7282,                0.54895,                  0.918,             9.0019e-05,             9.0019e-05,             9.0019e-05
                    125,                0.83026,                 2.9127,                0.74553,                 1.0097,                0.96999,                0.66458,                0.81636,                0.73621,                 0.9204,                0.62836,                0.77336,                0.50427,                0.72959,                 2.7168,                0.54774,                0.91699,             8.9783e-05,             8.9783e-05,             8.9783e-05
                    126,                0.84364,                 2.9479,                0.73375,                 1.0155,                0.98416,                0.68077,                0.83137,                0.74899,                0.93435,                0.64216,                0.78755,                0.50838,                0.72663,                 2.7045,                0.54744,                0.91716,             8.9547e-05,             8.9547e-05,             8.9547e-05
                    127,                0.81852,                 2.7978,                0.72727,                 1.0192,                0.98592,                0.68342,                0.83304,                0.74583,                0.92533,                0.63992,                0.78348,                0.51206,                0.72356,                 2.6944,                0.54427,                 0.9172,             8.9312e-05,             8.9312e-05,             8.9312e-05
                    128,                0.81947,                 2.8736,                0.73913,                 1.0018,                0.98592,                0.67882,                0.83066,                0.74941,                0.93654,                0.63996,                0.78693,                0.51448,                0.72402,                 2.6892,                 0.5383,                0.91828,             8.9076e-05,             8.9076e-05,             8.9076e-05
                    129,                0.87612,                 2.9601,                0.72468,                 1.0151,                0.98122,                0.67409,                0.82658,                0.74636,                0.93362,                0.63974,                0.78552,                0.51079,                0.72722,                 2.6867,                0.54016,                0.92004,             8.8841e-05,             8.8841e-05,             8.8841e-05
                    130,                0.85239,                 2.8274,                0.76761,                 1.0233,                0.98122,                 0.6687,                0.82396,                0.74588,                0.93004,                0.63398,                0.78096,                0.50569,                0.73211,                 2.6918,                0.54431,                0.92118,             8.8605e-05,             8.8605e-05,             8.8605e-05
                    131,                0.82826,                 2.7741,                0.71878,                0.99936,                0.98122,                0.68287,                 0.8309,                0.74598,                0.92511,                0.64442,                0.78456,                0.50434,                0.73544,                 2.6911,                  0.549,                0.92147,             8.8369e-05,             8.8369e-05,             8.8369e-05
                    132,                0.85699,                 2.8585,                0.75982,                  1.015,                0.98122,                0.68882,                0.83381,                0.74986,                0.93093,                0.65253,                0.79431,                0.51079,                0.73594,                 2.6822,                0.54998,                0.92067,             8.8134e-05,             8.8134e-05,             8.8134e-05
                    133,                0.79999,                 2.7718,                 0.7387,                0.99249,                0.98592,                0.67897,                0.83088,                0.74599,                0.93066,                0.64375,                0.78985,                0.51411,                0.73212,                 2.6656,                0.54413,                0.91967,             8.7898e-05,             8.7898e-05,             8.7898e-05
                    134,                0.80541,                 2.8268,                0.70364,                 1.0147,                 0.9831,                 0.6885,                0.83498,                0.74379,                0.92061,                 0.6456,                0.78793,                 0.5087,                0.72473,                 2.6599,                0.54164,                0.91705,             8.7663e-05,             8.7663e-05,             8.7663e-05
                    135,                0.83347,                 2.9474,                0.69806,                0.99094,                 0.9831,                  0.685,                0.83323,                0.74433,                0.92982,                0.64731,                0.79076,                0.51041,                0.71936,                 2.6484,                 0.5358,                0.91359,             8.7427e-05,             8.7427e-05,             8.7427e-05
                    136,                0.82092,                 2.8796,                0.69837,                  1.002,                 0.9831,                0.68047,                0.83096,                0.74137,                0.92366,                0.63819,                0.78176,                0.50514,                0.71542,                 2.6449,                0.53428,                0.91197,             8.7191e-05,             8.7191e-05,             8.7191e-05
                    137,                0.78273,                 2.7145,                0.69376,                0.99102,                 0.9831,                0.68825,                0.83485,                0.74538,                0.92149,                0.64161,                0.78226,                0.50955,                0.71724,                 2.6404,                0.53538,                0.91246,             8.6956e-05,             8.6956e-05,             8.6956e-05
                    138,                0.84775,                 2.8619,                0.76323,                  1.015,                0.98296,                 0.6869,                0.83423,                0.74903,                0.92591,                0.64409,                 0.7883,                0.50974,                0.71325,                 2.6415,                0.53781,                0.91163,              8.672e-05,              8.672e-05,              8.672e-05
                    139,                0.79164,                 2.7399,                 0.7406,                  1.011,                0.98139,                0.68285,                0.83161,                0.74702,                 0.9346,                0.64764,                0.79112,                0.51113,                0.71107,                 2.6358,                0.53964,                0.91193,             8.6484e-05,             8.6484e-05,             8.6484e-05
                    140,                0.83207,                 2.8296,                0.70596,                0.98942,                0.97983,                0.68838,                0.83392,                 0.7483,                   0.93,                0.65163,                0.79112,                0.51444,                 0.7092,                 2.6329,                0.53818,                0.91245,             8.6249e-05,             8.6249e-05,             8.6249e-05
                    141,                0.82446,                 2.8866,                0.71798,                0.97427,                0.98139,                0.68068,                 0.8306,                0.74918,                0.94283,                0.65209,                0.79694,                0.52012,                0.70988,                 2.6297,                0.53645,                 0.9123,             8.6013e-05,             8.6013e-05,             8.6013e-05
                    142,                0.82793,                 2.8021,                0.74271,                 0.9991,                0.96948,                0.66571,                 0.8168,                 0.7391,                0.93162,                0.63748,                0.78488,                0.52091,                0.71109,                   2.63,                0.53349,                0.91186,             8.5778e-05,             8.5778e-05,             8.5778e-05
                    143,                0.82525,                 2.8453,                  0.731,                 1.0278,                0.96948,                 0.6642,                0.81612,                0.73904,                0.92723,                0.63294,                0.78055,                0.51981,                0.71031,                 2.6297,                0.53254,                0.91073,             8.5542e-05,             8.5542e-05,             8.5542e-05
                    144,                0.82096,                 2.8219,                0.73379,                 1.0103,                0.97183,                0.65994,                0.81432,                0.73928,                0.92209,                0.62579,                0.77434,                0.51902,                0.71251,                 2.6166,                0.53144,                0.91059,             8.5306e-05,             8.5306e-05,             8.5306e-05
                    145,                0.80637,                 2.6881,                0.71868,                 1.0085,                0.97183,                0.66236,                0.81553,                0.74052,                0.91569,                0.62474,                0.77087,                0.51881,                0.71285,                 2.6104,                0.53457,                0.91005,             8.5071e-05,             8.5071e-05,             8.5071e-05
                    146,                 0.8563,                 2.9429,                0.72759,                 1.0117,                0.97183,                0.66556,                0.81706,                0.74034,                  0.919,                0.62872,                  0.775,                0.51652,                0.71117,                 2.6084,                0.53354,                0.90972,             8.4835e-05,             8.4835e-05,             8.4835e-05
                    147,                0.82737,                 2.8114,                0.71166,                 1.0135,                0.97183,                0.66544,                0.81693,                0.74015,                0.91114,                0.62022,                0.76574,                0.51251,                0.70916,                 2.5986,                0.53093,                0.90929,             8.4599e-05,             8.4599e-05,             8.4599e-05
                    148,                0.82565,                 2.7417,                0.72386,                 1.0018,                0.98296,                0.68749,                0.83393,                0.75571,                0.92358,                  0.644,                0.78576,                0.52161,                0.70921,                 2.5953,                0.53274,                0.90887,             8.4364e-05,             8.4364e-05,             8.4364e-05
                    149,                0.83027,                 2.7366,                0.70493,                 1.0082,                0.98239,                0.69162,                0.83579,                0.75405,                  0.913,                0.64948,                0.78522,                0.51935,                 0.7098,                 2.5914,                0.53956,                0.90909,             8.4128e-05,             8.4128e-05,             8.4128e-05
                    150,                0.82961,                 2.7969,                0.70823,                 1.0028,                0.98239,                  0.695,                0.83752,                0.75592,                0.91223,                0.65145,                0.78573,                0.52009,                0.70849,                 2.5793,                0.54048,                0.90901,             8.3893e-05,             8.3893e-05,             8.3893e-05
                    151,                0.78101,                 2.7078,                0.71374,                0.99576,                0.98171,                  0.684,                0.83214,                0.74843,                0.93427,                0.64978,                0.79593,                0.52455,                0.70489,                 2.5716,                0.53176,                0.90863,             8.3657e-05,             8.3657e-05,             8.3657e-05
                    152,                0.79904,                 2.7665,                 0.6966,                 1.0029,                0.98491,                0.67853,                0.83034,                 0.7504,                0.93294,                0.64274,                0.79209,                0.52469,                0.70285,                 2.5772,                0.53346,                0.90792,             8.3421e-05,             8.3421e-05,             8.3421e-05
                    153,                0.78546,                 2.7896,                0.69436,                0.99262,                0.98491,                0.68325,                0.83274,                 0.7531,                0.92837,                0.64419,                0.79027,                0.52136,                0.70075,                  2.585,                0.52861,                0.90784,             8.3186e-05,             8.3186e-05,             8.3186e-05
                    154,                0.82207,                  2.757,                0.72174,                 1.0141,                0.98491,                0.69103,                 0.8367,                0.75363,                 0.9101,                0.64298,                 0.7797,                0.52182,                0.69985,                 2.5831,                 0.5294,                0.90721,              8.295e-05,              8.295e-05,              8.295e-05
                    155,                0.82364,                 2.6615,                0.71958,                0.98968,                0.98491,                 0.7081,                0.84523,                0.75903,                0.92306,                0.66298,                0.79522,                0.52897,                0.70119,                  2.568,                0.52683,                0.90812,             8.2715e-05,             8.2715e-05,             8.2715e-05
                    156,                0.78254,                 2.7624,                0.67175,                0.98857,                0.98491,                0.71765,                0.84994,                 0.7641,                0.92257,                0.66981,                0.79709,                0.52964,                 0.6991,                 2.5578,                0.52658,                0.90603,             8.2479e-05,             8.2479e-05,             8.2479e-05
                    157,                0.79397,                 2.6838,                0.69367,                0.99331,                0.98404,                0.71014,                0.84625,                0.76321,                0.91504,                0.66333,                0.79086,                0.52368,                0.69771,                 2.5456,                0.52373,                0.90366,             8.2243e-05,             8.2243e-05,             8.2243e-05
                    158,                0.80535,                 2.6703,                0.68949,                0.99126,                0.98491,                0.70565,                0.84408,                0.76269,                0.92774,                0.66433,                0.79764,                0.52413,                0.69881,                  2.542,                0.52293,                0.90286,             8.2008e-05,             8.2008e-05,             8.2008e-05
                    159,                0.81686,                 2.8082,                0.69711,                 1.0008,                0.98592,                0.69251,                0.83751,                0.75475,                  0.929,                0.65088,                0.79172,                0.52564,                 0.7002,                 2.5348,                0.52104,                0.90162,             8.1772e-05,             8.1772e-05,             8.1772e-05
                    160,                 0.7946,                 2.7876,                0.67933,                0.99647,                 0.9831,                0.69148,                0.83604,                0.75249,                0.92826,                0.64995,                0.79172,                0.52727,                 0.7025,                 2.5347,                0.51748,                0.90165,             8.1536e-05,             8.1536e-05,             8.1536e-05
                    161,                 0.8012,                 2.7088,                0.69428,                0.99394,                 0.9831,                0.70121,                0.84138,                0.74968,                0.92112,                 0.6555,                0.78729,                0.52567,                0.70296,                 2.5392,                0.51741,                0.90194,             8.1301e-05,             8.1301e-05,             8.1301e-05
                    162,                0.78177,                 2.6861,                0.70166,                 1.0195,                0.98592,                 0.7017,                 0.8421,                0.74815,                0.91846,                0.65169,                0.78389,                0.52609,                 0.7035,                 2.5326,                0.52117,                0.90229,             8.1065e-05,             8.1065e-05,             8.1065e-05
                    163,                0.83357,                 2.6666,                0.68902,                0.99178,                0.98592,                0.70294,                0.84265,                0.74978,                0.91629,                0.65115,                0.78375,                0.53609,                0.69788,                 2.5204,                0.52041,                0.90136,              8.083e-05,              8.083e-05,              8.083e-05
                    164,                0.79236,                  2.705,                0.69693,                 1.0016,                0.98592,                0.70761,                0.84498,                0.75328,                 0.9267,                0.66192,                0.79536,                0.53541,                0.69329,                 2.5149,                0.51782,                0.90139,             8.0594e-05,             8.0594e-05,             8.0594e-05
                    165,                0.81745,                 2.7929,                0.69485,                0.99243,                0.98592,                0.70444,                0.84341,                0.75631,                0.93507,                0.66399,                0.79738,                0.53113,                0.68905,                 2.5121,                0.51732,                0.90022,             8.0358e-05,             8.0358e-05,             8.0358e-05
                    166,                0.79815,                 2.7075,                0.71262,                0.99452,                0.98592,                0.69679,                0.83951,                0.75295,                0.92318,                0.65058,                0.79018,                0.53293,                0.69151,                 2.5105,                0.52232,                0.90101,             8.0123e-05,             8.0123e-05,             8.0123e-05
                    167,                0.79772,                 2.7757,                0.67917,                0.98247,                 0.9839,                0.69176,                  0.837,                0.75088,                 0.9208,                0.64718,                0.78695,                0.53294,                0.69021,                 2.5045,                 0.5201,                0.90121,             7.9887e-05,             7.9887e-05,             7.9887e-05
                    168,                0.78487,                 2.7595,                0.67883,                0.99223,                0.98111,                0.68598,                0.83357,                0.74945,                0.92244,                0.64047,                0.78482,                0.52593,                0.68882,                 2.4915,                0.51528,                 0.9007,             7.9651e-05,             7.9651e-05,             7.9651e-05
                    169,                0.84617,                 2.7406,                0.69685,                 1.0035,                0.98262,                0.69347,                0.83763,                0.75092,                0.92122,                0.64564,                0.78681,                0.52777,                0.69068,                 2.4824,                0.51388,                0.90057,             7.9416e-05,             7.9416e-05,             7.9416e-05
                    170,                0.80318,                 2.7938,                0.68367,                0.98838,                0.98262,                0.71231,                0.84625,                0.75608,                 0.9117,                0.65654,                0.78445,                0.53089,                0.69158,                 2.4797,                0.51402,                0.90068,              7.918e-05,              7.918e-05,              7.918e-05
                    171,                0.77662,                 2.5591,                0.65058,                0.98219,                0.98239,                0.70195,                0.84181,                0.75817,                0.90434,                0.64629,                0.77707,                0.52661,                0.69367,                 2.4862,                0.51698,                 0.9007,             7.8945e-05,             7.8945e-05,             7.8945e-05
                    172,                0.78965,                 2.6864,                0.66771,                0.97859,                0.98053,                0.69082,                0.83536,                0.75381,                0.92988,                0.65226,                 0.7923,                0.52595,                0.69359,                 2.4919,                0.51758,                0.90028,             7.8709e-05,             7.8709e-05,             7.8709e-05
                    173,                0.81396,                 2.7282,                0.70965,                 1.0007,                0.98181,                0.68716,                0.83385,                0.75063,                0.93382,                0.65069,                0.79212,                0.52271,                0.69237,                 2.4852,                0.52108,                0.90019,             7.8473e-05,             7.8473e-05,             7.8473e-05
                    174,                0.75664,                 2.5925,                0.65705,                0.99823,                0.98028,                0.67991,                0.82986,                0.74886,                0.92945,                0.64234,                0.78827,                0.52521,                0.69033,                 2.4755,                0.52559,                0.89903,             7.8238e-05,             7.8238e-05,             7.8238e-05
                    175,                0.79454,                 2.7356,                0.69516,                0.98948,                0.98055,                 0.6838,                0.83174,                0.75203,                0.93109,                0.64619,                0.78968,                0.53417,                0.68913,                 2.4712,                0.52634,                0.89853,             7.8002e-05,             7.8002e-05,             7.8002e-05
                    176,                0.78722,                 2.6587,                0.68186,                0.99304,                 0.9782,                0.68872,                0.83427,                0.75626,                0.92854,                0.65112,                0.79178,                0.53439,                0.68838,                 2.4648,                0.52348,                0.89826,             7.7766e-05,             7.7766e-05,             7.7766e-05
                    177,                0.82826,                 2.7283,                0.71544,                 1.0031,                0.97934,                0.68221,                0.83141,                0.75592,                0.93015,                0.64354,                 0.7892,                0.54251,                0.68544,                 2.4559,                0.51748,                0.89607,             7.7531e-05,             7.7531e-05,             7.7531e-05
                    178,                0.78626,                 2.7262,                0.65026,                0.98225,                0.98169,                0.68554,                  0.833,                0.75878,                0.93515,                0.64947,                0.79276,                0.54172,                0.67922,                  2.447,                0.51351,                0.89347,             7.7295e-05,             7.7295e-05,             7.7295e-05
                    179,                 0.8301,                 2.7599,                0.70736,                0.99376,                0.98156,                0.69443,                0.83796,                0.75742,                0.93252,                0.65615,                0.79474,                0.54102,                0.67687,                 2.4439,                 0.5158,                0.89205,              7.706e-05,              7.706e-05,              7.706e-05
                    180,                0.77836,                 2.6385,                0.68338,                0.98558,                0.98169,                0.70451,                0.84301,                0.76164,                0.92754,                0.66152,                0.79637,                0.54412,                0.67561,                 2.4402,                0.51574,                 0.8911,             7.6824e-05,             7.6824e-05,             7.6824e-05
                    181,                 0.7994,                  2.672,                0.68457,                0.98601,                0.98592,                0.71494,                0.84872,                0.76283,                0.92737,                0.67172,                0.80094,                0.54739,                0.68078,                  2.432,                0.52013,                0.89221,             7.6588e-05,             7.6588e-05,             7.6588e-05
                    182,                0.78449,                 2.5878,                 0.6704,                0.99376,                0.98592,                0.71121,                0.84693,                0.76477,                0.93204,                0.67228,                0.80272,                0.54523,                0.68412,                 2.4257,                0.51886,                0.89227,             7.6353e-05,             7.6353e-05,             7.6353e-05
                    183,                0.81413,                 2.7164,                0.68466,                0.99069,                0.98592,                 0.7032,                0.84285,                0.76323,                0.93401,                0.66694,                0.80207,                0.54491,                0.68621,                 2.4169,                0.51363,                0.89367,             7.6117e-05,             7.6117e-05,             7.6117e-05
                    184,                 0.7578,                 2.5465,                 0.6704,                0.98478,                0.98517,                0.70093,                0.84154,                0.76514,                0.92158,                0.66224,                  0.793,                0.54415,                0.68548,                 2.4124,                 0.5083,                0.89328,             7.5882e-05,             7.5882e-05,             7.5882e-05
                    185,                0.76512,                 2.5728,                0.65885,                0.97877,                0.98357,                0.70439,                0.84326,                0.76562,                0.92159,                0.66563,                0.79633,                0.54702,                0.68279,                 2.4076,                0.50559,                0.89201,             7.5646e-05,             7.5646e-05,             7.5646e-05
                    186,                0.78574,                 2.6637,                0.68341,                0.97768,                0.96948,                0.69308,                0.83023,                0.75473,                 0.9108,                0.65682,                0.78556,                0.53913,                0.68195,                 2.4052,                0.50477,                0.89134,              7.541e-05,              7.541e-05,              7.541e-05
                    187,                0.76747,                 2.6198,                0.69395,                0.99457,                0.96887,                0.70081,                 0.8343,                0.75738,                0.90932,                0.66289,                0.78832,                0.53959,                 0.6798,                 2.4043,                0.50639,                0.89057,             7.5175e-05,             7.5175e-05,             7.5175e-05
                    188,                 0.8044,                 2.5971,                0.68824,                 0.9913,                0.96828,                0.69551,                0.83126,                0.75748,                 0.9094,                0.65827,                 0.7867,                0.54119,                0.68261,                 2.4084,                0.50933,                0.89177,             7.4939e-05,             7.4939e-05,             7.4939e-05
                    189,                0.73436,                  2.512,                0.63489,                0.97741,                0.98078,                0.69378,                0.83733,                0.76349,                0.92677,                0.66065,                0.79642,                0.54081,                0.68075,                 2.4095,                0.50849,                0.89122,             7.4703e-05,             7.4703e-05,             7.4703e-05
                    190,                0.75447,                 2.6408,                0.64158,                  0.977,                0.98139,                0.68515,                0.83309,                0.76222,                0.92669,                0.65208,                 0.7923,                0.54027,                0.67832,                 2.4101,                0.50674,                0.89091,             7.4468e-05,             7.4468e-05,             7.4468e-05
                    191,                0.80438,                 2.6793,                0.66092,                0.98377,                0.98139,                0.68214,                0.83078,                0.75939,                0.94496,                0.65442,                0.80122,                0.55183,                0.67595,                 2.4089,                0.50504,                0.89091,             7.4232e-05,             7.4232e-05,             7.4232e-05
                    192,                0.78695,                 2.6102,                0.67298,                0.98492,                0.98181,                0.68685,                0.83353,                 0.7594,                0.94197,                0.65798,                 0.8007,                0.55349,                0.67371,                 2.4144,                 0.5033,                 0.8902,             7.3997e-05,             7.3997e-05,             7.3997e-05
                    193,                0.76219,                 2.5568,                0.65114,                0.98445,                0.97912,                0.69197,                0.83601,                0.75976,                0.93263,                0.65791,                0.79189,                0.54744,                0.67632,                 2.4103,                0.50399,                0.89035,             7.3761e-05,             7.3761e-05,             7.3761e-05
                    194,                0.75923,                 2.5658,                0.62998,                 0.9733,                0.97939,                0.69784,                0.83878,                 0.7648,                0.92991,                0.66055,                 0.7946,                 0.5544,                0.67521,                 2.3929,                0.50093,                0.88974,             7.3525e-05,             7.3525e-05,             7.3525e-05
                    195,                0.75449,                  2.585,                0.64071,                0.96597,                0.97993,                0.70631,                0.84295,                0.76745,                0.92617,                0.66742,                0.79655,                0.55012,                0.67153,                 2.3843,                0.50082,                0.88762,              7.329e-05,              7.329e-05,              7.329e-05
                    196,                 0.7809,                 2.6084,                0.66345,                0.99652,                0.98259,                0.70789,                0.84421,                0.76947,                0.91607,                0.66637,                0.78992,                0.55511,                0.67009,                 2.3754,                0.50154,                0.88628,             7.3054e-05,             7.3054e-05,             7.3054e-05
                    197,                0.81302,                 2.6883,                0.68794,                0.98395,                0.98207,                0.70831,                0.84423,                0.77195,                0.92605,                0.66751,                0.79698,                0.55934,                0.67015,                 2.3722,                0.50037,                 0.8861,             7.2818e-05,             7.2818e-05,             7.2818e-05
                    198,                0.77798,                 2.6275,                 0.6671,                 0.9853,                0.99946,                0.72053,                0.85837,                0.78368,                0.93644,                 0.6722,                0.80437,                0.55369,                0.67025,                 2.3686,                0.49824,                0.88591,             7.2583e-05,             7.2583e-05,             7.2583e-05
                    199,                0.74248,                 2.4848,                0.63093,                0.97097,                0.99946,                0.71156,                0.85388,                0.78225,                0.93867,                0.66476,                0.80131,                0.55665,                0.66719,                  2.365,                0.49413,                0.88524,             7.2347e-05,             7.2347e-05,             7.2347e-05
                    200,                 0.7728,                 2.5413,                0.65488,                0.96992,                0.98535,                0.69373,                0.83799,                0.76425,                0.93805,                0.66102,                0.79986,                0.55325,                0.66646,                 2.3639,                0.48964,                0.88455,             7.2112e-05,             7.2112e-05,             7.2112e-05
                    201,                0.76275,                 2.6093,                0.65246,                0.97462,                0.97124,                0.67386,                 0.8211,                0.75122,                0.92587,                0.64221,                0.78424,                0.54308,                0.66735,                 2.3622,                0.48899,                0.88508,             7.1876e-05,             7.1876e-05,             7.1876e-05
                    202,                0.74884,                 2.5951,                0.64192,                0.97141,                0.97055,                0.67586,                0.82178,                0.75243,                  0.926,                0.64449,                0.78436,                0.54492,                0.66876,                 2.3622,                0.49502,                0.88637,              7.164e-05,              7.164e-05,              7.164e-05
                    203,                 0.7686,                 2.5887,                0.63161,                0.96814,                0.97042,                0.68367,                0.82552,                0.75493,                0.92425,                0.65132,                 0.7876,                0.54837,                0.66595,                 2.3589,                0.49384,                0.88694,             7.1405e-05,             7.1405e-05,             7.1405e-05
                    204,                0.77529,                 2.5955,                0.68511,                 0.9902,                0.96965,                0.68794,                 0.8273,                0.75812,                0.92902,                0.65759,                0.79227,                0.55264,                0.66493,                 2.3563,                0.49284,                0.88696,             7.1169e-05,             7.1169e-05,             7.1169e-05
                    205,                0.80556,                 2.5841,                0.67956,                0.97863,                0.96909,                0.69175,                  0.829,                0.75786,                0.92234,                0.65797,                0.78888,                 0.5522,                0.66662,                 2.3557,                0.49275,                  0.887,             7.0934e-05,             7.0934e-05,             7.0934e-05
                    206,                 0.7682,                  2.502,                0.66785,                0.98151,                0.96859,                0.68598,                0.82605,                0.75528,                 0.9238,                0.65516,                 0.7897,                0.54803,                0.67004,                 2.3619,                0.49532,                0.88714,             7.0698e-05,             7.0698e-05,             7.0698e-05
                    207,                0.76362,                 2.5604,                0.65307,                0.96534,                0.97061,                 0.6829,                0.82525,                0.75079,                0.93132,                0.65672,                0.79315,                0.54702,                 0.6675,                 2.3576,                0.49354,                0.88592,             7.0462e-05,             7.0462e-05,             7.0462e-05
                    208,                0.76352,                 2.4936,                 0.6686,                 1.0069,                0.97122,                0.68479,                0.82659,                0.75113,                0.92719,                0.65593,                0.79112,                0.54238,                0.66368,                  2.347,                0.48968,                0.88427,             7.0227e-05,             7.0227e-05,             7.0227e-05
                    209,                0.75609,                 2.4606,                0.63455,                0.97261,                0.97183,                0.69094,                0.82968,                0.75336,                0.92363,                0.65707,                0.79129,                 0.5454,                0.66153,                 2.3405,                0.48617,                 0.8831,             6.9991e-05,             6.9991e-05,             6.9991e-05
