                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0362,                 4.0316,                 1.0952,                 1.1115,                0.87108,                0.44796,                0.66441,                0.57606,                0.69845,                0.38072,                0.54358,                0.30212,                0.98082,                 4.0611,                0.88239,                 1.0642,             0.00011358,             0.00011358,             0.00011358
                     25,                 1.0408,                 4.0495,                 1.2171,                 1.1304,                0.89577,                0.46794,                0.68668,                0.59182,                0.73315,                0.40044,                0.57024,                0.30944,                0.97808,                 4.0256,                0.87148,                 1.0607,             0.00011335,             0.00011335,             0.00011335
                     26,                 1.0285,                 3.9409,                 1.1146,                 1.1279,                0.89658,                0.47743,                0.68848,                0.59857,                0.73466,                0.41343,                0.57686,                0.31781,                0.96935,                 3.9874,                0.85521,                  1.056,             0.00011311,             0.00011311,             0.00011311
                     27,                 1.0599,                 4.0509,                 1.1277,                 1.1203,                0.87471,                0.48207,                0.68218,                0.59633,                0.74865,                0.41693,                0.58422,                0.32326,                0.95891,                 3.9601,                 0.8397,                 1.0485,             0.00011287,             0.00011287,             0.00011287
                     28,                 1.0152,                 3.9735,                 1.1159,                 1.1048,                0.85004,                 0.4863,                0.67571,                0.59341,                0.74428,                0.41945,                  0.584,                0.32417,                0.94727,                 3.9408,                0.83258,                 1.0414,             0.00011264,             0.00011264,             0.00011264
                     29,                  0.989,                  3.892,                 1.0572,                 1.1203,                 0.8652,                0.48436,                0.68198,                0.60025,                0.77359,                0.42231,                0.60242,                0.33038,                0.93974,                 3.9169,                0.83072,                 1.0362,              0.0001124,              0.0001124,              0.0001124
                     30,                 1.0012,                 3.9093,                 1.0448,                 1.0877,                 0.8548,                0.47627,                0.67127,                0.58697,                0.75929,                0.41966,                0.59263,                0.32269,                0.93276,                 3.8949,                0.81862,                 1.0293,             0.00011217,             0.00011217,             0.00011217
                     31,                0.97475,                 3.8375,                 1.0611,                 1.1016,                0.87216,                0.49095,                0.68572,                0.59814,                0.74331,                0.42376,                0.58877,                0.32273,                0.92858,                 3.8627,                0.80414,                 1.0243,             0.00011193,             0.00011193,             0.00011193
                     32,                 1.0041,                 3.8187,                0.98175,                 1.0958,                0.88736,                 0.4954,                0.69386,                0.61025,                0.74878,                0.42878,                0.59481,                0.32987,                0.91974,                  3.831,                0.78247,                 1.0193,              0.0001117,              0.0001117,              0.0001117
                     33,                0.97584,                 3.7663,                0.98962,                 1.0929,                0.85198,                  0.488,                0.67326,                0.59821,                0.72017,                0.42301,                0.57861,                0.33407,                0.91822,                  3.791,                0.77294,                 1.0173,             0.00011146,             0.00011146,             0.00011146
                     34,                 1.0274,                 3.8235,                 1.0354,                 1.1325,                0.87867,                0.47888,                 0.6833,                0.60888,                0.73292,                0.41326,                0.57962,                0.33456,                0.91469,                 3.7601,                 0.7681,                  1.017,             0.00011122,             0.00011122,             0.00011122
                     35,                 1.0017,                 3.7162,                 1.0649,                 1.0903,                0.87842,                0.47349,                0.68008,                0.60856,                  0.746,                0.41859,                 0.5838,                0.33887,                0.90875,                 3.7372,                0.76283,                 1.0142,             0.00011099,             0.00011099,             0.00011099
                     36,                0.96678,                 3.7204,                 1.0587,                 1.1015,                0.91072,                0.48182,                0.69952,                0.62429,                0.80188,                0.42849,                0.61324,                0.35237,                0.90434,                 3.7128,                0.75763,                 1.0115,             0.00011075,             0.00011075,             0.00011075
                     37,                0.93144,                 3.6987,                0.95642,                 1.0678,                0.90155,                0.50991,                0.71125,                0.63128,                0.78776,                0.44521,                0.61829,                0.35706,                0.89475,                 3.6879,                0.75422,                  1.007,             0.00011052,             0.00011052,             0.00011052
                     38,                0.96648,                 3.6917,                 0.9435,                 1.0618,                0.89944,                0.52112,                0.71709,                0.63669,                0.78944,                0.45241,                0.62314,                0.35856,                0.89149,                 3.6694,                0.75839,                 1.0061,             0.00011028,             0.00011028,             0.00011028
                     39,                 1.0011,                 3.7578,                0.97879,                 1.0791,                0.90292,                0.53184,                0.72354,                0.64311,                0.77606,                0.46123,                0.62622,                0.35342,                0.89058,                 3.6471,                0.76069,                 1.0042,             0.00011005,             0.00011005,             0.00011005
                     40,                0.95955,                 3.6633,                0.90686,                 1.0659,                0.92854,                0.53743,                0.73556,                 0.6485,                0.79712,                0.45822,                0.63077,                0.35644,                0.88758,                 3.6261,                0.75213,                  1.003,             0.00010981,             0.00010981,             0.00010981
                     41,                 1.0326,                 3.6929,                0.99148,                 1.1022,                0.92571,                0.53689,                0.73424,                0.64739,                0.79007,                0.45789,                0.62655,                0.34905,                0.88504,                 3.5971,                0.74605,                 1.0011,             0.00010958,             0.00010958,             0.00010958
                     42,                0.94245,                 3.6753,                0.94513,                 1.0685,                0.92658,                0.53042,                0.73219,                0.64381,                 0.8184,                0.45559,                0.64064,                0.35698,                0.88632,                 3.5779,                0.73882,                0.99993,             0.00010934,             0.00010934,             0.00010934
                     43,                0.95127,                 3.6734,                0.99645,                 1.0807,                0.93354,                 0.5406,                0.73934,                0.64448,                0.81747,                0.46633,                0.64419,                0.36591,                0.88617,                 3.5573,                 0.7306,                0.99769,              0.0001091,              0.0001091,              0.0001091
                     44,                0.95114,                 3.6274,                0.96772,                 1.0804,                0.93342,                0.54035,                0.73925,                0.64594,                0.80921,                 0.4652,                   0.64,                0.36331,                0.88418,                 3.5445,                0.72004,                0.99512,             0.00010887,             0.00010887,             0.00010887
                     45,                 0.9748,                 3.6556,                0.98061,                 1.0715,                0.92937,                0.54708,                0.73857,                0.64386,                0.79556,                0.46586,                0.63322,                0.36569,                0.88123,                 3.5268,                0.71526,                  0.995,             0.00010863,             0.00010863,             0.00010863
                     46,                0.98625,                 3.5964,                0.99514,                  1.075,                0.93222,                0.54211,                0.73823,                0.64734,                0.80267,                 0.4679,                 0.6365,                0.36436,                0.87894,                 3.5129,                0.72292,                0.99528,              0.0001084,              0.0001084,              0.0001084
                     47,                0.90145,                 3.4464,                0.89544,                 1.0427,                0.90624,                0.55802,                0.73553,                0.64218,                0.78171,                0.47555,                0.63168,                0.36982,                0.87424,                  3.502,                0.73846,                0.99365,             0.00010816,             0.00010816,             0.00010816
                     48,                0.97372,                 3.6155,                0.93156,                 1.0768,                0.90925,                0.55123,                0.73548,                 0.6448,                0.78183,                 0.4713,                0.62933,                0.37211,                0.86839,                 3.4923,                0.73565,                0.99054,             0.00010793,             0.00010793,             0.00010793
                     49,                0.96112,                  3.481,                0.92178,                 1.0715,                0.92386,                 0.5401,                 0.7345,                0.64387,                0.81505,                0.48463,                0.65327,                0.38474,                0.86645,                  3.477,                0.72684,                0.99067,             0.00010769,             0.00010769,             0.00010769
                     50,                0.94674,                 3.5589,                0.92821,                 1.0646,                0.92282,                0.53626,                0.73165,                 0.6413,                0.82311,                0.47852,                0.65723,                0.38243,                0.86387,                  3.465,                0.72155,                0.99164,             0.00010745,             0.00010745,             0.00010745
                     51,                0.91407,                 3.4463,                0.89639,                 1.0549,                0.92061,                 0.5437,                0.73285,                0.64324,                0.83238,                0.49046,                0.66653,                0.39179,                0.86099,                   3.45,                0.71592,                0.99219,             0.00010722,             0.00010722,             0.00010722
                     52,                0.93284,                 3.4926,                0.91071,                 1.0495,                0.92149,                0.53531,                0.73092,                 0.6371,                0.83729,                0.48122,                0.66567,                0.39354,                0.85888,                 3.4272,                0.70894,                0.98988,             0.00010698,             0.00010698,             0.00010698
                     53,                0.93593,                 3.5314,                 0.9134,                  1.045,                0.89653,                0.53186,                0.71608,                0.63334,                0.80843,                0.47898,                 0.6474,                0.38866,                0.85457,                 3.4087,                0.71016,                0.98811,             0.00010675,             0.00010675,             0.00010675
                     54,                0.90449,                 3.4756,                0.90794,                  1.055,                0.88922,                0.53348,                0.71467,                0.64137,                0.81025,                0.48515,                0.65168,                0.39763,                0.84922,                 3.3868,                0.70521,                0.98494,             0.00010651,             0.00010651,             0.00010651
                     55,                0.90952,                  3.451,                0.92233,                 1.0589,                0.90665,                0.53655,                0.72409,                0.64666,                0.82557,                0.48753,                0.65793,                0.40817,                 0.8421,                 3.3602,                0.69929,                 0.9819,             0.00010628,             0.00010628,             0.00010628
                     56,                0.88554,                  3.318,                0.87809,                 1.0617,                0.92544,                0.53532,                0.73161,                0.65077,                0.84972,                0.48973,                0.66814,                 0.4075,                 0.8389,                 3.3509,                0.69219,                0.98065,             0.00010604,             0.00010604,             0.00010604
                     57,                0.96165,                   3.47,                0.89588,                 1.0728,                0.93181,                0.54611,                0.73954,                0.65868,                0.85175,                0.49887,                0.67364,                0.40372,                 0.8339,                 3.3563,                0.68355,                0.97768,             0.00010581,             0.00010581,             0.00010581
                     58,                0.89701,                 3.3881,                0.87342,                 1.0567,                0.92478,                0.54611,                0.73648,                0.65794,                0.83222,                0.48822,                0.65889,                0.39468,                0.83227,                  3.359,                0.67827,                0.97632,             0.00010557,             0.00010557,             0.00010557
                     59,                0.89747,                 3.3264,                0.88739,                 1.0539,                0.93464,                0.55872,                0.74664,                0.66227,                0.85299,                0.50639,                0.67522,                0.39418,                0.83481,                  3.347,                0.68032,                  0.976,             0.00010533,             0.00010533,             0.00010533
                     60,                0.92621,                  3.482,                0.87752,                 1.0503,                0.91136,                0.55757,                0.73787,                 0.6581,                0.82532,                 0.5014,                0.66731,                0.39362,                0.83771,                 3.3279,                0.67334,                 0.9786,              0.0001051,              0.0001051,              0.0001051
                     61,                0.92148,                 3.3666,                0.87122,                 1.0475,                0.92752,                0.56015,                0.74685,                0.66728,                0.83192,                0.49732,                0.66967,                 0.4028,                0.83968,                 3.3021,                0.66986,                0.97956,             0.00010486,             0.00010486,             0.00010486
                     62,                0.93573,                 3.4464,                 0.9009,                 1.0558,                0.93654,                0.55928,                 0.7488,                0.66323,                 0.8322,                0.49161,                0.66658,                 0.4049,                0.83692,                  3.277,                 0.6633,                0.97841,             0.00010463,             0.00010463,             0.00010463
                     63,                0.90411,                 3.3722,                0.84542,                  1.052,                0.93897,                0.56495,                 0.7531,                0.66839,                0.81725,                0.48896,                0.66036,                0.40626,                 0.8341,                 3.2615,                0.65713,                0.97695,             0.00010439,             0.00010439,             0.00010439
                     64,                0.89874,                 3.3357,                0.87656,                 1.0333,                0.93125,                0.57437,                0.75503,                0.66995,                0.81005,                0.49198,                0.65116,                0.39975,                0.82813,                 3.2452,                0.65468,                0.97413,             0.00010416,             0.00010416,             0.00010416
                     65,                0.90672,                 3.3988,                0.89385,                 1.0563,                0.93419,                0.57851,                0.75887,                0.67168,                0.82292,                  0.507,                0.66423,                0.39894,                0.82175,                 3.2263,                0.65486,                0.97297,             0.00010392,             0.00010392,             0.00010392
                     66,                  0.947,                 3.4079,                0.90368,                 1.0688,                0.94915,                 0.5787,                0.76564,                0.67975,                0.84059,                0.50632,                0.67436,                0.40738,                0.82196,                 3.2112,                0.65377,                0.97307,             0.00010368,             0.00010368,             0.00010368
                     67,                0.94977,                 3.4174,                    0.9,                 1.0787,                0.94526,                 0.5672,                0.75854,                0.67111,                0.84413,                0.50125,                0.67387,                0.40938,                0.81912,                 3.2013,                0.64607,                0.97081,             0.00010345,             0.00010345,             0.00010345
